symbol,name,exchange,assetType,ipoDate,delistingDate,status
AEHR,Aehr Test Systems,NASDAQ,Stock,8/15/1997,null,Active
AEIS,Advanced Energy Industries Inc,NASDAQ,Stock,11/17/1995,null,Active
AEL,American Equity Investment Life Holding Company,NYSE,Stock,12/4/2003,null,Active
AEL-P-B,American Equity Investment Life Holding Company Depositary Shares Series B,NYSE,Stock,6/10/2020,null,Active
AEM,Agnico Eagle Mines Ltd,NYSE,Stock,9/7/1984,null,Active
AEMD,Aethlon Medical Inc,NASDAQ,Stock,1/2/2001,null,Active
AEO,American Eagle Outfitters Inc,NYSE,Stock,4/14/1994,null,Active
AEP,American Electric Power Company Inc,NASDAQ,Stock,1/2/1970,null,Active
AEP-P-C,American Electric Power Company Inc Corporate Units,NYSE,Stock,8/12/2020,null,Active
AEPPL,American Electric Power Company Inc,NASDAQ,Stock,3/15/2019,null,Active
AER,AerCap Holdings NV,NYSE,Stock,11/21/2006,null,Active
AERI,Aerie Pharmaceuticals Inc,NASDAQ,Stock,10/25/2013,null,Active
AES,The AES Corp,NYSE,Stock,6/26/1991,null,Active
AESE,Allied Esports Entertainment Inc,NASDAQ,Stock,10/25/2017,null,Active
AEY,ADDvantage Technologies Group Inc,NASDAQ,Stock,5/30/1996,null,Active
AEYE,AudioEye Inc,NASDAQ,Stock,4/26/2013,null,Active
AEZS,Aeterna Zentaris Inc,NASDAQ,Stock,5/10/2000,null,Active
AFC,Allied Capital Corp,NYSE,Stock,4/17/2007,null,Active
AFG,American Financial Group,NYSE,Stock,4/6/1983,null,Active
AFGB,American Financial Group Inc 5875 Subordinated Debentures due 2059,NYSE,Stock,3/19/2019,null,Active
AFGC,Africa Growth Cp,NYSE,Stock,8/4/2011,null,Active
AFGD,American Financial Group Inc. 5.625 Subordinated Debentures due 2060,NYSE,Stock,6/3/2020,null,Active
AFGE,American Financial Group Inc,NYSE,Stock,9/24/2014,null,Active
AFGH,American Financial Group Inc 6000 Sub Deb 11152055,NYSE,Stock,11/18/2015,null,Active
AFI,AFI,NYSE,Stock,3/17/2016,null,Active
AFIB,Acutus Medical Inc,NASDAQ,Stock,8/6/2020,null,Active
AFIN,American Finance Trust Inc,NASDAQ,Stock,7/19/2018,null,Active
AFINP,American Finance Trust Inc Pfd Ser A,NASDAQ,Stock,3/22/2019,null,Active
AFL,AFLAC Inc,NYSE,Stock,7/19/1984,null,Active
AFMD,Affimed NV,NASDAQ,Stock,9/12/2014,null,Active
AFYA,Afya Ltd Class A,NASDAQ,Stock,7/19/2019,null,Active
AG,First Majestic Silver Corporation,NYSE,Stock,11/28/2006,null,Active
AGBA,AGBA Acquisition Ltd,NASDAQ,Stock,7/31/2019,null,Active
AGBAR,AGBA Acquisition Limited Right,NASDAQ,Stock,7/18/2019,null,Active
AGBAU,Agba Acquisition Ltd - Unit (1 Ordinary share 1 Wrt & 1 Rts ),NASDAQ,Stock,5/14/2019,null,Active
AGBAW,AGBA Acquisition Limited Warrant,NASDAQ,Stock,7/30/2019,null,Active
AGCO,AGCO Corp,NYSE,Stock,4/20/1992,null,Active
AGE,AgeX Therapeutics Inc,NYSE MKT,Stock,11/29/2018,null,Active
AGEN,Agenus Inc,NASDAQ,Stock,2/8/2000,null,Active
AGFS,AgroFresh Solutions Inc,NASDAQ,Stock,8/3/2015,null,Active
AGI,Alamos Gold Inc - Class A,NYSE,Stock,2/13/2009,null,Active
AGIO,Agios Pharmaceuticals Inc,NASDAQ,Stock,7/24/2013,null,Active
AGLE,Aeglea BioTherapeutics,NASDAQ,Stock,4/7/2016,null,Active
